Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Enzo Ebosse,CMR,DF,26.0,Torino,ITA-Serie A,1329,14.77,0,1,0.0,0.07,0,7,7,10,4,0,0.0,0.0,0.0,90,40,48.28,31.67,Zor
Enzo Fernández,ARG,MF,24.0,Chelsea,ENG-Premier League,3115,34.61,10,4,0.29,0.12,31,89,24,20,10,0,0.0,0.0,0.0,100,80,38.0,77.86,Orta
Enzo Le Fée,FRA,"MF,FW",25.0,Sunderland,ENG-Premier League,2930,32.56,5,6,0.15,0.18,12,98,56,28,5,0,0.0,0.0,0.0,100,40,38.0,38.28,Zor
Eray Cömert,SUI,DF,27.0,Valencia,ESP-La Liga,1337,14.86,2,1,0.13,0.07,3,1,14,21,3,1,0.0,0.0,0.0,95,40,38.0,32.69,Zor
Eren Dinkçi,GER,"MF,FW",23.0,Heidenheim,GER-Bundesliga,1379,15.32,3,1,0.2,0.07,9,32,17,9,4,0,0.0,0.0,0.0,90,40,34.0,33.41,Zor
Eren Elmalı,TUR,"DF,MF",25.0,Galatasaray,TUR-Super Lig,1526,16.96,3,0,0.18,0.0,6,44,20,14,3,0,0.0,0.0,0.0,90,100,34.0,84.96,Orta
Eric Bailly,CIV,DF,31.0,Oviedo,ESP-La Liga,1234,13.71,1,0,0.07,0.0,1,1,10,17,3,0,0.0,0.0,0.0,95,40,38.0,32.33,Zor
Eric García,ESP,"DF,MF",24.0,Barcelona,ESP-La Liga,2721,30.23,1,1,0.03,0.03,7,14,44,50,6,0,0.0,0.0,0.0,95,100,38.0,93.87,Kolay
Eric Martel,GER,"MF,DF",23.0,Köln,GER-Bundesliga,2559,28.43,2,2,0.07,0.07,4,11,32,35,12,1,0.0,0.0,0.0,90,40,34.0,38.03,Zor
Eric Smith,SWE,"DF,MF",28.0,St Pauli,GER-Bundesliga,2311,25.68,2,2,0.08,0.08,5,64,23,24,4,1,0.0,0.0,0.0,90,40,34.0,37.06,Zor
Erling Haaland,NOR,FW,25.0,Manchester City,ENG-Premier League,2953,32.81,27,8,0.82,0.24,59,3,7,4,2,0,0.0,0.0,0.0,100,100,38.0,95.9,Kolay
Ermedin Demirović,BIH,FW,27.0,Stuttgart,GER-Bundesliga,1497,16.63,12,3,0.72,0.18,22,1,10,2,5,0,0.0,0.0,0.0,90,75,34.0,63.51,Zor
Ernest Muçi,ALB,MF,24.0,Trabzonspor,TUR-Super Lig,1853,20.59,11,3,0.53,0.15,29,111,10,8,4,0,0.0,0.0,0.0,90,90,34.0,79.35,Orta
Ernest Poku,NED,MF,21.0,Leverkusen,GER-Bundesliga,1482,16.47,5,5,0.3,0.3,9,13,9,8,0,0,0.0,0.0,0.0,90,85,34.0,71.85,Zor
Ersin Destanoğlu,TUR,GK,24.0,Beşiktaş,TUR-Super Lig,2250,25.0,0,0,0.0,0.0,0,0,0,0,4,0,71.0,8.0,29.0,90,100,34.0,92.06,Kolay
Ertuğrul Taşkıran,TUR,GK,35.0,Alanyaspor,TUR-Super Lig,1800,20.0,0,0,0.0,0.0,0,0,1,0,2,0,56.0,7.0,22.0,90,40,34.0,35.06,Zor
Esteban Lepaul,FRA,FW,25.0,Rennes,FRA-Ligue 1,2685,29.83,21,5,0.7,0.17,38,17,5,3,3,0,0.0,0.0,0.0,85,40,34.0,38.53,Zor
Ethan Ampadu,WAL,MF,24.0,Leeds United,ENG-Premier League,3119,34.66,1,1,0.03,0.03,6,25,46,50,10,0,0.0,0.0,0.0,100,40,38.0,38.95,Zor
Evanilson,BRA,FW,25.0,Bournemouth,ENG-Premier League,2742,30.47,6,1,0.2,0.03,23,3,5,6,2,0,0.0,0.0,0.0,100,70,38.0,65.84,Zor
Evann Guessand,CIV,MF,24.0,Aston Villa,ENG-Premier League,918,10.2,1,2,0.1,0.2,6,11,11,5,0,0,0.0,0.0,0.0,100,80,38.0,62.44,Zor
Exequiel Palacios,ARG,MF,26.0,Leverkusen,GER-Bundesliga,1099,12.21,0,1,0.0,0.08,2,2,9,10,3,0,0.0,0.0,0.0,90,85,34.0,68.66,Zor
Ezequiél Fernández,ARG,MF,23.0,Leverkusen,GER-Bundesliga,984,10.93,0,1,0.0,0.09,1,4,17,14,4,1,0.0,0.0,0.0,90,85,34.0,67.7,Zor
Ezri Konsa,ENG,DF,27.0,Aston Villa,ENG-Premier League,3035,33.72,0,0,0.0,0.0,2,5,8,22,0,1,0.0,0.0,0.0,100,80,38.0,77.3,Orta
Fabian Rieder,SUI,MF,23.0,Augsburg,GER-Bundesliga,2476,27.51,6,3,0.22,0.11,13,117,22,15,4,0,0.0,0.0,0.0,90,40,34.0,37.71,Zor
Fabian Schär,SUI,DF,33.0,Newcastle,ENG-Premier League,1091,12.12,0,0,0.0,0.0,4,4,9,16,1,0,0.0,0.0,0.0,100,75,38.0,59.68,Zor
Fabiano Parisi,ITA,"MF,FW",24.0,Fiorentina,ITA-Serie A,1520,16.89,1,1,0.06,0.06,7,39,14,17,6,0,0.0,0.0,0.0,90,40,48.28,32.2,Zor
Fabio Vieira,POR,"MF,FW",25.0,Hamburger SV,GER-Bundesliga,2206,24.51,7,5,0.29,0.2,19,59,9,15,4,2,0.0,0.0,0.0,90,40,34.0,36.65,Zor
Fabián Ruiz Peña,ESP,MF,29.0,PSG,FRA-Ligue 1,1131,12.57,1,4,0.08,0.32,4,21,11,17,2,0,0.0,0.0,0.0,85,100,34.0,81.09,Orta
Facundo Medina,ARG,DF,26.0,Marseille,FRA-Ligue 1,1365,15.17,0,1,0.0,0.07,1,13,16,24,7,0,0.0,0.0,0.0,85,70,34.0,58.37,Zor
Fares Chaïbi,ALG,MF,22.0,Frankfurt,GER-Bundesliga,1792,19.91,2,9,0.1,0.45,9,91,21,13,2,0,0.0,0.0,0.0,90,75,34.0,65.68,Zor
Fatih Aksoy,TUR,"DF,MF",27.0,Alanyaspor,TUR-Super Lig,840,9.33,0,0,0.0,0.0,2,5,8,14,3,0,0.0,0.0,0.0,90,40,34.0,31.29,Zor
Federico Baschirotto,ITA,DF,28.0,Cremonese,ITA-Serie A,2540,28.22,2,0,0.07,0.0,5,8,13,24,2,0,0.0,0.0,0.0,90,40,48.28,35.01,Zor
Federico Bernardeschi,ITA,"MF,FW",31.0,Bologna,ITA-Serie A,1217,13.52,4,2,0.3,0.15,13,48,6,6,3,0,0.0,0.0,0.0,90,40,48.28,31.36,Zor
Federico Bonazzoli,ITA,FW,28.0,Cremonese,ITA-Serie A,2510,27.89,10,1,0.36,0.04,32,26,16,12,4,0,0.0,0.0,0.0,90,40,48.28,34.93,Zor
Federico Dimarco,ITA,MF,27.0,Inter,ITA-Serie A,2698,29.98,7,16,0.23,0.53,22,295,31,30,3,0,0.0,0.0,0.0,90,95,48.28,84.2,Orta
Federico Gatti,ITA,DF,27.0,Juventus,ITA-Serie A,1093,12.14,2,0,0.16,0.0,6,2,10,12,3,0,0.0,0.0,0.0,90,85,48.28,65.91,Zor
Federico Ravaglia,ITA,GK,25.0,Bologna,ITA-Serie A,1470,16.33,0,0,0.0,0.0,0,0,1,0,4,0,52.0,2.0,29.0,90,40,48.28,32.06,Zor
Federico Valverde,URU,"MF,DF",27.0,Real Madrid,ESP-La Liga,2740,30.44,5,8,0.16,0.26,22,30,25,25,3,1,0.0,0.0,0.0,95,100,38.0,94.03,Kolay
Federico Viñas,URU,"FW,MF",27.0,Oviedo,ESP-La Liga,2439,27.1,9,1,0.33,0.04,21,3,32,13,7,3,0.0,0.0,0.0,95,40,38.0,36.56,Zor
Felipe Augusto,BRA,"MF,FW",21.0,Trabzonspor,TUR-Super Lig,2185,24.28,13,0,0.54,0.0,30,18,18,11,1,0,0.0,0.0,0.0,90,90,34.0,82.28,Orta
Felix Nmecha,GER,MF,24.0,Dortmund,GER-Bundesliga,2176,24.18,2,3,0.08,0.12,7,7,23,25,0,0,0.0,0.0,0.0,90,95,34.0,86.77,Kolay
Fer López,ESP,MF,21.0,Celta Vigo,ENG-Premier League,1405,15.61,1,2,0.06,0.13,6,22,12,6,4,0,0.0,0.0,0.0,100,40,38.0,32.93,Zor
Ferdi Kadioglu,TUR,"DF,MF",25.0,Brighton,ENG-Premier League,3133,34.81,1,0,0.03,0.0,13,109,39,25,6,0,0.0,0.0,0.0,100,75,38.0,73.11,Zor
Fermin López,ESP,MF,22.0,Barcelona,ESP-La Liga,1797,19.97,6,9,0.3,0.45,25,36,22,7,3,0,0.0,0.0,0.0,95,100,38.0,85.77,Kolay
Fernando Calero,ESP,DF,29.0,Espanyol,ESP-La Liga,2148,23.87,0,0,0.0,0.0,1,2,18,31,5,0,0.0,0.0,0.0,95,40,38.0,35.54,Zor
Ferran Jutglà,ESP,FW,26.0,Celta Vigo,ESP-La Liga,1652,18.36,9,3,0.49,0.16,26,19,3,8,4,0,0.0,0.0,0.0,95,40,38.0,33.8,Zor
Ferrán Torres,ESP,FW,25.0,Barcelona,ESP-La Liga,1965,21.83,16,2,0.73,0.09,37,3,6,4,2,0,0.0,0.0,0.0,95,100,38.0,87.23,Kolay
Fidan Aliti,KVX,DF,31.0,Alanyaspor,TUR-Super Lig,2672,29.69,0,1,0.0,0.03,3,12,23,39,10,0,0.0,0.0,0.0,90,40,34.0,38.48,Zor
Fikayo Tomori,ENG,DF,27.0,Milan,ITA-Serie A,2554,28.38,0,2,0.0,0.07,2,17,40,28,8,1,0.0,0.0,0.0,90,80,48.28,70.11,Zor
Filip Mladenović,SRB,DF,33.0,Karagümrük,TUR-Super Lig,846,9.4,1,0,0.11,0.0,1,42,4,15,2,0,0.0,0.0,0.0,90,40,34.0,31.32,Zor
Filip Ugrinic,SUI,MF,26.0,Valencia,ESP-La Liga,1504,16.71,0,3,0.0,0.18,3,56,16,11,3,0,0.0,0.0,0.0,95,40,38.0,33.28,Zor
Filippo Terracciano,ITA,DF,22.0,Cremonese,ITA-Serie A,3011,33.46,2,0,0.06,0.0,4,27,23,56,6,0,0.0,0.0,0.0,90,40,48.28,36.32,Zor
Finn Dahmen,GER,GK,27.0,Augsburg,GER-Bundesliga,3060,34.0,0,0,0.0,0.0,0,0,0,0,1,0,105.0,5.0,61.0,90,40,34.0,40.0,Zor
Finn Jeltsch,GER,DF,19.0,Stuttgart,GER-Bundesliga,1511,16.79,0,1,0.0,0.06,0,3,14,19,3,0,0.0,0.0,0.0,90,75,34.0,63.61,Zor
Fisayo Dele-Bashiru,NGA,MF,24.0,Lazio,ITA-Serie A,1187,13.19,1,0,0.08,0.0,2,10,15,4,0,0,0.0,0.0,0.0,90,75,48.28,58.65,Zor
Fisnik Asllani,KVX,"FW,MF",22.0,Hoffenheim,GER-Bundesliga,2335,25.94,10,7,0.39,0.27,28,10,7,5,2,0,0.0,0.0,0.0,90,40,34.0,37.16,Zor
Florent Hadergjonaj,KVX,MF,31.0,Alanyaspor,TUR-Super Lig,2211,24.57,6,9,0.24,0.37,11,183,14,8,4,0,0.0,0.0,0.0,90,40,34.0,36.67,Zor
Florent Hanin,ALG,"DF,MF",35.0,Angers,FRA-Ligue 1,865,9.61,0,0,0.0,0.0,0,26,8,13,0,0,0.0,0.0,0.0,85,40,34.0,31.39,Zor
Florentino Luís,POR,MF,25.0,Burnley,ENG-Premier League,2105,23.39,0,2,0.0,0.09,2,11,49,40,6,0,0.0,0.0,0.0,100,40,38.0,35.39,Zor
Florian Lejeune,FRA,DF,34.0,Rayo Vallecano,ESP-La Liga,3230,35.89,2,1,0.06,0.03,18,8,47,47,7,0,0.0,0.0,0.0,95,40,38.0,39.33,Zor
Florian Neuhaus,GER,"MF,FW",28.0,Gladbach,GER-Bundesliga,930,10.33,0,1,0.0,0.1,6,9,7,9,0,0,0.0,0.0,0.0,90,40,34.0,31.65,Zor
Florian Thauvin,FRA,MF,32.0,Lens,FRA-Ligue 1,2443,27.14,11,6,0.41,0.22,27,202,17,11,6,0,0.0,0.0,0.0,85,70,34.0,65.76,Zor
Florian Wirtz,GER,MF,22.0,Liverpool,ENG-Premier League,2378,26.42,5,3,0.19,0.11,18,32,26,12,1,0,0.0,0.0,0.0,100,95,38.0,86.32,Kolay
Fodé Ballo-Touré,SEN,"DF,MF",28.0,Metz,FRA-Ligue 1,836,9.29,0,0,0.0,0.0,1,16,16,5,2,0,0.0,0.0,0.0,85,40,34.0,31.28,Zor
Fodé Doucouré,MLI,"MF,FW",24.0,Le Havre,FRA-Ligue 1,1239,13.77,3,1,0.22,0.07,8,78,26,9,2,0,0.0,0.0,0.0,85,40,34.0,32.86,Zor
Folarin Balogun,USA,FW,24.0,Monaco,FRA-Ligue 1,2230,24.78,13,4,0.52,0.16,32,14,6,4,4,1,0.0,0.0,0.0,85,70,34.0,64.31,Zor
Fousseni Diabaté,MLI,MF,29.0,Kasımpaşa,TUR-Super Lig,1970,21.89,1,4,0.05,0.18,7,57,18,8,1,0,0.0,0.0,0.0,90,40,34.0,35.73,Zor
Fran Beltrán,ESP,MF,26.0,Girona,ESP-La Liga,1540,17.11,1,0,0.06,0.0,4,10,19,19,3,0,0.0,0.0,0.0,95,75,38.0,62.63,Zor
Fran Garcia,ESP,"DF,MF",25.0,Real Madrid,ESP-La Liga,929,10.32,1,1,0.1,0.1,2,28,12,6,2,1,0.0,0.0,0.0,95,100,38.0,78.15,Orta
Francesco Acerbi,ITA,DF,37.0,Inter,ITA-Serie A,1378,15.31,0,1,0.0,0.07,1,3,9,18,3,0,0.0,0.0,0.0,90,95,48.28,75.54,Orta
Francesco Esposito,ITA,FW,20.0,Inter,ITA-Serie A,1571,17.46,7,3,0.4,0.17,23,4,5,5,1,0,0.0,0.0,0.0,90,95,48.28,76.81,Orta
Francisco Conceição,POR,"MF,FW",22.0,Juventus,ITA-Serie A,2078,23.09,3,5,0.13,0.22,23,92,26,7,3,0,0.0,0.0,0.0,90,85,48.28,71.7,Zor
Francisco Perez,ESP,"MF,FW",22.0,Rayo Vallecano,ESP-La Liga,1237,13.74,2,1,0.15,0.07,8,48,10,2,4,0,0.0,0.0,0.0,95,40,38.0,32.34,Zor
Francisco Sierralta,CHI,DF,28.0,Auxerre,FRA-Ligue 1,861,9.57,1,0,0.1,0.0,2,0,6,9,2,0,0.0,0.0,0.0,85,40,34.0,31.38,Zor
Franck Honorat,FRA,"MF,FW",28.0,Gladbach,GER-Bundesliga,1977,21.97,2,6,0.09,0.27,5,134,13,5,0,0,0.0,0.0,0.0,90,40,34.0,35.75,Zor
Franco Mastantuono,ARG,"MF,FW",17.0,Real Madrid,ESP-La Liga,1037,11.52,1,0,0.09,0.0,7,31,12,3,5,1,0.0,0.0,0.0,95,100,38.0,79.09,Orta
Franco Tongya,ITA,MF,23.0,Gençlerbirliği,TUR-Super Lig,2267,25.19,5,3,0.2,0.12,19,12,27,12,6,1,0.0,0.0,0.0,90,40,34.0,36.89,Zor
Frank Anguissa,CMR,MF,29.0,Napoli,ITA-Serie A,1258,13.98,4,1,0.29,0.07,9,15,14,13,1,0,0.0,0.0,0.0,90,90,48.28,70.82,Zor
Frank Magri,CMR,"FW,MF",25.0,Toulouse,FRA-Ligue 1,1253,13.92,5,1,0.36,0.07,12,15,3,3,3,0,0.0,0.0,0.0,85,40,34.0,32.91,Zor
Fred,BRA,MF,32.0,Fenerbahçe,TUR-Super Lig,1478,16.42,3,4,0.18,0.24,16,33,23,22,3,0,0.0,0.0,0.0,90,100,34.0,84.49,Orta
Freddie Potts,ENG,MF,21.0,West Ham,ENG-Premier League,1171,13.01,0,1,0.0,0.08,1,34,18,16,1,0,0.0,0.0,0.0,100,40,38.0,32.11,Zor
Frederik Rønnow,DEN,GK,32.0,Union Berlin,GER-Bundesliga,2640,29.33,0,0,0.0,0.0,0,0,1,1,2,0,75.0,5.0,54.0,90,40,34.0,38.35,Zor
Fredrik Oppegard,NOR,"MF,DF",22.0,Auxerre,FRA-Ligue 1,1246,13.84,0,0,0.0,0.0,2,48,20,14,1,1,0.0,0.0,0.0,85,40,34.0,32.88,Zor
Frenkie de Jong,NED,MF,28.0,Barcelona,ESP-La Liga,1636,18.18,1,5,0.06,0.28,2,5,19,17,4,1,0.0,0.0,0.0,95,100,38.0,84.35,Orta
Furkan Soyalp,TUR,MF,30.0,Kayserispor,TUR-Super Lig,1800,20.0,1,0,0.05,0.0,11,23,42,27,7,0,0.0,0.0,0.0,90,40,34.0,35.06,Zor
Fyodor Chalov,RUS,"FW,MF",27.0,Kayserispor,TUR-Super Lig,854,9.49,2,1,0.21,0.11,7,6,2,3,1,0,0.0,0.0,0.0,90,40,34.0,31.35,Zor
Fábio Silva,POR,"FW,MF",23.0,Dortmund,GER-Bundesliga,817,9.08,2,6,0.22,0.66,8,12,2,2,3,0,0.0,0.0,0.0,90,95,34.0,74.11,Zor
Félix Correia,POR,MF,24.0,Lille,FRA-Ligue 1,2053,22.81,4,5,0.18,0.22,8,84,13,21,2,0,0.0,0.0,0.0,85,70,34.0,63.09,Zor
Gabriel Gudmundsson,SWE,"DF,MF",26.0,Leeds United,ENG-Premier League,2631,29.23,0,0,0.0,0.0,3,88,47,28,6,1,0.0,0.0,0.0,100,40,38.0,37.23,Zor
Gabriel Magalhães,BRA,DF,27.0,Arsenal,ENG-Premier League,2751,30.57,3,4,0.1,0.13,7,6,20,22,4,0,0.0,0.0,0.0,100,95,38.0,89.43,Kolay
Gabriel Martinelli,BRA,"FW,MF",24.0,Arsenal,ENG-Premier League,1081,12.01,1,4,0.08,0.33,13,37,8,1,3,0,0.0,0.0,0.0,100,95,38.0,75.51,Orta
Gabriel Paulista,BRA,DF,34.0,Beşiktaş,TUR-Super Lig,863,9.59,0,1,0.0,0.1,2,0,6,6,1,0,0.0,0.0,0.0,90,100,34.0,78.46,Orta
Gabriel Sara,BRA,MF,26.0,Galatasaray,TUR-Super Lig,1834,20.38,5,4,0.25,0.2,13,128,17,11,1,0,0.0,0.0,0.0,90,100,34.0,87.98,Kolay
Gabriel Suazo,CHI,"DF,MF",27.0,Sevilla,ESP-La Liga,2096,23.29,0,2,0.0,0.09,2,95,62,29,7,0,0.0,0.0,0.0,95,40,38.0,35.35,Zor
Gabriele Zappa,ITA,"DF,MF",25.0,Cagliari,ITA-Serie A,1597,17.74,0,3,0.0,0.17,2,37,17,18,2,0,0.0,0.0,0.0,90,40,48.28,32.41,Zor
Gaius Makouta,CGO,MF,28.0,Alanyaspor,TUR-Super Lig,2657,29.52,1,0,0.03,0.0,4,25,24,31,7,0,0.0,0.0,0.0,90,40,34.0,38.42,Zor
Gauthier Hein,FRA,"MF,FW",28.0,Metz,FRA-Ligue 1,2351,26.12,8,7,0.31,0.27,13,147,10,9,3,1,0.0,0.0,0.0,85,40,34.0,37.22,Zor
Gautier Lloris,FRA,DF,30.0,Le Havre,FRA-Ligue 1,2398,26.64,1,1,0.04,0.04,4,2,24,43,2,1,0.0,0.0,0.0,85,40,34.0,37.4,Zor
Gennaro Borrelli,ITA,FW,25.0,Cagliari,ITA-Serie A,1275,14.17,5,1,0.35,0.07,12,2,6,3,4,0,0.0,0.0,0.0,90,40,48.28,31.52,Zor
Georges Mikautadze,GEO,FW,24.0,Villarreal,ESP-La Liga,2288,25.42,14,6,0.55,0.24,36,21,4,6,1,0,0.0,0.0,0.0,95,75,38.0,67.55,Zor
Georgi Dzhikiya,RUS,DF,31.0,Antalyaspor,TUR-Super Lig,1154,12.82,2,0,0.16,0.0,3,4,7,7,3,0,0.0,0.0,0.0,90,40,34.0,32.52,Zor
Georginio Rutter,FRA,"MF,FW",23.0,Brighton,ENG-Premier League,1786,19.84,3,3,0.15,0.15,14,20,19,11,2,0,0.0,0.0,0.0,100,75,38.0,64.25,Zor
Gerard Gumbau,ESP,MF,30.0,Rayo Vallecano,ESP-La Liga,1175,13.06,0,3,0.0,0.23,5,52,16,11,4,0,0.0,0.0,0.0,95,40,38.0,32.12,Zor
Gerard Martín,ESP,DF,23.0,Barcelona,ESP-La Liga,2119,23.54,0,0,0.0,0.0,4,14,29,31,6,0,0.0,0.0,0.0,95,100,38.0,88.58,Kolay
Gerard Moreno,ESP,FW,33.0,Villarreal,ESP-La Liga,1343,14.92,10,0,0.67,0.0,16,11,8,3,0,0,0.0,0.0,0.0,95,75,38.0,61.33,Zor
German Onugkha,RUS,FW,29.0,Kayserispor,TUR-Super Lig,1887,20.97,8,1,0.38,0.05,21,2,6,0,3,0,0.0,0.0,0.0,90,40,34.0,35.4,Zor
Germán Valera,ESP,"MF,DF",23.0,Elche,ESP-La Liga,2857,31.74,4,5,0.13,0.16,8,104,40,23,5,1,0.0,0.0,0.0,95,40,38.0,38.02,Zor
Gerónimo Rulli,ARG,GK,33.0,Marseille,FRA-Ligue 1,2610,29.0,0,0,0.0,0.0,0,0,0,0,3,0,76.0,8.0,34.0,85,70,34.0,66.91,Zor
Giacomo Raspadori,ITA,FW,25.0,Atalanta,ESP-La Liga,1032,11.47,3,2,0.26,0.17,14,53,4,1,1,0,0.0,0.0,0.0,95,75,38.0,59.29,Zor
Gianluca Gaetano,ITA,"MF,FW",25.0,Cagliari,ITA-Serie A,1912,21.24,2,4,0.09,0.19,11,38,15,23,4,0,0.0,0.0,0.0,90,40,48.28,33.28,Zor
Gianluca Mancini,ITA,DF,29.0,Roma,ITA-Serie A,3059,33.99,4,2,0.12,0.06,8,29,28,47,9,0,0.0,0.0,0.0,90,75,48.28,68.34,Zor
Gianluca Scamacca,ITA,FW,26.0,Atalanta,ITA-Serie A,1315,14.61,10,1,0.68,0.07,22,0,5,3,2,0,0.0,0.0,0.0,90,75,48.28,59.31,Zor
Gianluigi Donnarumma,ITA,GK,26.0,Manchester City,ENG-Premier League,3060,34.0,0,0,0.0,0.0,0,0,0,1,8,0,75.0,15.0,29.0,100,100,38.0,96.84,Kolay
Giannis Papanikolaou,GRE,MF,26.0,Rizespor,TUR-Super Lig,1835,20.39,1,0,0.05,0.0,2,2,33,24,6,1,0.0,0.0,0.0,90,40,34.0,35.2,Zor
Gideon Mensah,GHA,DF,27.0,Auxerre,FRA-Ligue 1,2327,25.86,0,2,0.0,0.08,0,64,37,23,8,0,0.0,0.0,0.0,85,40,34.0,37.13,Zor
Gift Orban,NGA,FW,23.0,Hellas Verona,ITA-Serie A,2027,22.52,7,2,0.31,0.09,28,14,3,3,4,1,0.0,0.0,0.0,90,40,48.28,33.6,Zor
Giorgi Gocholeishvili,GEO,MF,24.0,Hamburger SV,GER-Bundesliga,940,10.44,0,2,0.0,0.19,2,20,14,7,3,1,0.0,0.0,0.0,90,40,34.0,31.68,Zor
Giorgi Mamardashvili,GEO,GK,24.0,Liverpool,ENG-Premier League,867,9.63,0,0,0.0,0.0,0,0,1,1,0,0,33.0,2.0,18.0,100,95,38.0,73.72,Zor
Giorgio Scalvini,ITA,DF,21.0,Atalanta,ITA-Serie A,1808,20.09,3,1,0.15,0.05,6,5,23,38,2,0,0.0,0.0,0.0,90,75,48.28,61.86,Zor
Giovane,BRA,"FW,MF",21.0,Hellas Verona,ITA-Serie A,1871,20.79,3,5,0.14,0.24,27,67,9,6,2,0,0.0,0.0,0.0,90,40,48.28,33.17,Zor
Giovani Lo Celso,ARG,MF,29.0,Real Betis,ESP-La Liga,1393,15.48,2,3,0.13,0.19,11,61,13,6,4,0,0.0,0.0,0.0,95,40,38.0,32.89,Zor
Giovanni Di Lorenzo,ITA,"DF,MF",31.0,Napoli,ITA-Serie A,2276,25.29,2,1,0.08,0.04,9,38,26,9,1,0,0.0,0.0,0.0,90,90,48.28,77.14,Orta
Giovanni Fabbian,ITA,MF,22.0,Bologna,ITA-Serie A,1173,13.03,2,0,0.15,0.0,6,6,6,6,2,0,0.0,0.0,0.0,90,40,48.28,31.24,Zor
Giovanni Simeone,ARG,FW,30.0,Torino,ITA-Serie A,2230,24.78,11,0,0.44,0.0,28,9,9,5,1,0,0.0,0.0,0.0,90,40,48.28,34.16,Zor
Giuliano Simeone,ARG,"MF,FW",22.0,Atlético Madrid,ESP-La Liga,2099,23.32,4,6,0.17,0.26,14,48,25,20,2,0,0.0,0.0,0.0,95,92,38.0,81.34,Orta
Giuseppe Pezzella,ITA,"MF,DF",27.0,Cremonese,ITA-Serie A,2585,28.72,0,1,0.0,0.03,0,128,32,11,8,1,0.0,0.0,0.0,90,40,48.28,35.14,Zor
Gleison Bremer,BRA,DF,28.0,Juventus,ITA-Serie A,2171,24.12,4,3,0.17,0.12,9,1,14,30,5,0,0.0,0.0,0.0,90,85,48.28,72.24,Zor
Godfried Frimpong,NED,DF,26.0,Kasımpaşa,TUR-Super Lig,2194,24.38,0,1,0.0,0.04,1,57,13,26,1,0,0.0,0.0,0.0,90,40,34.0,36.6,Zor
Goduine Koyalipou,CTA,FW,25.0,Angers,ESP-La Liga,915,10.17,3,1,0.29,0.1,13,4,5,2,1,0,0.0,0.0,0.0,95,40,38.0,31.21,Zor
Gonzalo García,ESP,FW,21.0,Real Madrid,ESP-La Liga,964,10.71,6,1,0.56,0.09,11,3,7,2,2,0,0.0,0.0,0.0,95,100,38.0,78.46,Orta
Gonçalo Guedes,POR,MF,28.0,Real Sociedad,ESP-La Liga,1823,20.26,8,4,0.39,0.2,18,70,16,4,3,0,0.0,0.0,0.0,95,75,38.0,64.5,Zor
Gonçalo Ramos,POR,FW,24.0,PSG,FRA-Ligue 1,1318,14.64,6,1,0.41,0.07,25,1,14,5,4,1,0.0,0.0,0.0,85,100,34.0,82.92,Orta
Gorka Guruzeta,ESP,FW,28.0,Athletic Club,ESP-La Liga,2363,26.26,10,3,0.38,0.11,32,7,6,11,6,1,0.0,0.0,0.0,95,75,38.0,68.05,Zor
Grady Diangana,COD,"MF,FW",27.0,Elche,ESP-La Liga,926,10.29,1,0,0.1,0.0,2,12,6,4,3,0,0.0,0.0,0.0,95,40,38.0,31.25,Zor
Granit Xhaka,SUI,MF,32.0,Sunderland,ENG-Premier League,2904,32.27,1,6,0.03,0.19,5,99,33,29,8,0,0.0,0.0,0.0,100,40,38.0,38.19,Zor
Gregor Kobel,SUI,GK,27.0,Dortmund,GER-Bundesliga,3060,34.0,0,0,0.0,0.0,0,0,0,0,3,0,88.0,15.0,34.0,90,95,34.0,95.0,Kolay
Grischa Prömel,GER,MF,30.0,Hoffenheim,GER-Bundesliga,1758,19.53,7,2,0.36,0.1,14,11,16,15,5,0,0.0,0.0,0.0,90,40,34.0,34.89,Zor
Grégoire Coudert,FRA,GK,26.0,Brest,FRA-Ligue 1,2192,24.36,0,0,0.0,0.0,0,0,0,0,2,0,76.0,6.0,40.0,85,40,34.0,36.6,Zor
Guglielmo Vicario,ITA,GK,28.0,Tottenham,ENG-Premier League,2790,31.0,0,0,0.0,0.0,0,0,1,0,1,0,83.0,7.0,50.0,100,80,38.0,75.58,Orta
Guido Rodríguez,ARG,MF,31.0,Valencia,ENG-Premier League,1489,16.54,4,0,0.24,0.0,5,5,27,12,5,0,0.0,0.0,0.0,100,40,38.0,33.22,Zor
Guilherme Sityá,POR,"DF,MF",35.0,Konyaspor,TUR-Super Lig,1858,20.64,0,1,0.0,0.05,1,104,21,24,3,0,0.0,0.0,0.0,90,40,34.0,35.28,Zor
Guillaume Restes,FRA,GK,20.0,Toulouse,FRA-Ligue 1,2939,32.66,0,0,0.0,0.0,0,0,0,1,3,0,84.0,9.0,45.0,85,40,34.0,39.53,Zor
Guillermo Maripán,CHI,DF,31.0,Torino,ITA-Serie A,2145,23.83,2,0,0.08,0.0,8,3,28,27,4,0,0.0,0.0,0.0,90,40,48.28,33.92,Zor
